Índice de Analise,Grupo,Animal,Branches,Endpoint,Branch lenght,Num cells,Densidade,Amplitude (SR),Circularidade,Area
1,Jovem,1.1,"218,81","346,70","168126,63",27,"0,065","1,062","0,864",53184
2,Jovem,1.1,"291,00","440,71","224866,81",21,"0,088","1,266","0,883",31161
3,Jovem,1.1,"288,58","483,17","262402,17",12,"0,051","1,883","0,620",25441
4,Jovem,1.1,"230,93","386,40","201715,20",15,"0,070","1,502","0,811",36636
5,Jovem,1.1,"140,23","230,77","112471,45",22,"0,066","1,571","0,807",29492
6,Jovem,1.1,"237,43","400,57","274043,71",7,"0,084","2,029","0,763",23966
7,Jovem,1.2,"254,90","424,20","218224,10",10,"0,060","1,989","0,689",23061
8,Jovem,1.2,"117,37","195,58","11485,48",19,"0,057","2,199","0,679",17709
9,Jovem,1.2,"141,84","235,00","128748,11",19,"0,080","3,742","0,512",18530
10,Jovem,1.2,"108,30","172,70","78456,96",23,"0,095","2,019","0,673",18135
11,Jovem,1.2,"261,71","414,21","232190,07",14,"0,063","1,361","0,784",42386
12,Jovem,1.2,"247,82","395,35","207865,41",17,"0,084","1,137","0,851",33576
13,Jovem,1.3,"165,93","283,36","133764,43",14,"0,075","1,638","0,743",16572
14,Jovem,1.3,"290,67","473,20","238907,73",15,"0,085","1,620","0,789",16897
15,Jovem,1.3,"272,85","448,23","239181,92",13,"0,073","1,771","0,765",25303
16,Jovem,1.3,"245,64","407,09","236175,45",11,"0,092","1,767","0,712",20560
17,Jovem,1.3,"344,56","577,44","239645,00",9,"0,072","1,273","0,818",31964
18,Jovem,1.3,"636,17","1086,33","592605,67",6,"0,075","1,452","0,731",21267
19,Jovem,1.4,"286,29","457,53","236933,82",17,"0,065","1,458","0,707",34857
20,Jovem,1.4,"421,00","601,11","337025,33",9,"0,032","1,158","0,738",47941
21,Idoso,2.1,"138,79","214,63","121504,63",24,"0,076","2,415","0,618",23308
22,Idoso,2.1,"113,43","175,16","98911,59",37,"0,092","1,425","0,797",16640
23,Idoso,2.1,"214,11","331,72","203357,78",18,"0,137","1,412","0,884",5908
24,Idoso,2.1,"170,77","262,59","154049,41",22,"0,069","1,565","0,830",31619
25,Idoso,2.1,"155,25","252,50","151313,75",20,"0,081","3,104","0,601",18220
26,Idoso,2.1,"167,47","254,32","162265,00",19,"0,064","1,129","0,768",32935
27,Idoso,2.2,"135,81","225,67","123282,48",27,"0,109","2,028","0,739",10955
28,Idoso,2.2,"153,82","239,00","126784,03",33,"0,037","1,246","0,725",33588
29,Idoso,2.2.,"214,86","345,36","211024,07",14,"0,047","1,676","0,776",40262
30,Idoso,2.2,"184,71","299,88","176827,47",17,"0,116","1,379","0,829",13882
31,Idoso,2.2,"163,11","259,37","152839,05",19,"0,101","1,361","0,756",11803
32,Idoso,2.2,"184,18","292,73","167334,59",22,"0,077","2,160","0,653",17705
33,Idoso,2.3,"210,11","337,63","183067,68",19,"0,083","1,185","0,860",28870
34,Idoso,2.3,"168,21","280,43","171676,93",14,"0,059","2,564","0,582",21940
35,Idoso,2.3,"169,89","278,74","154830,21",19,"0,072","1,986","0,690",18014
36,Idoso,2.3,"192,79","311,21","186086,93",14,"0,077","2,054","0,761",29341
37,Idoso,2.3,"152,09","248,55","133970,18",22,"0,090","1,874","0,751",37267
38,Idoso,2.3,"128,00","210,42","126930,53",19,"0,076","1,518","0,787",21149
39,Idoso,2.4,"223,50","375,40","215225,00",10,"0,076","2,310","0,641",12169
40,Idoso,2.4,"159,08","267,17","151482,33",12,"0,069","1,380","0,763",26655
41,Idoso + GH,3.1,"292,44","504,67","242704,56",9,"0,097","2,173","0,704",20294
42,Idoso + GH,3.1,"125,47","201,60","103895,60",15,"0,079","1,555","0,820",20967
43,Idoso + GH,3.1,"241,93","407,60","187672,13",15,"0,102","1,382","0,865",16205
44,Idoso + GH,3.1,"204,73","314,55","158603,55",22,"0,078","1,225","0,924",38295
45,Idoso + GH,3.1,"165,00","263,56","145695,22",18,"0,069","1,488","0,801",36591
46,Idoso + GH,3.1,"203,83","319,78","149736,83",18,"0,087","1,371","0,882",21.774
47,Idoso + GH,3.2,"235,86","379,10","183443,76",21,"0,111","1,335","0,819",17936
48,Idoso + GH,3.2,"165,12","267,44","134236,64",25,"0,095","1,495","0,857",24736
49,Idoso + GH,3.2,"187,60","275,80","166028,55",20,"0,098","1,215","0,866",20874
50,Idoso + GH,3.2,"220,82","351,91","190396,00",22,"0,091","2,037","0,778",24450
51,Idoso + GH,3.2,"180,26","271,87","156416,70",23,"0,086","1,272","0,855",27184
52,Idoso + GH,3.2,"128,48","190,48","120148,28",29,"0,091","1,930","0,719",25514
53,Idoso + GH,3.3,"158,91","264,55","144791,18",11,"0,082","1,055","0,881",20647
54,Idoso + GH,3.3,"117,52","180,05","106736,14",21,"0,084","1,858","0,699",17977
55,Idoso + GH,3.3,"238,08","395,92","206300,75",12,"0,086","1,719","0,671",19228
56,Idoso + GH,3.3,"207,92","352,00","194204,38",13,"0,075","1,936","0,770",27345
57,Idoso + GH,3.3,"159,39","258,56","133812,11",18,"0,065","1,645","0,768",30541
58,Idoso + GH,3.3,"194,93","323,80","170251,00",15,"0,095","1,623","0,830",28822
59,Idoso + GH,3.4,"208,56","359,22","198391,78",9,"0,121","1,246","0,798",9440
60,Idoso + GH,3.4,"198,67","332,22","198375,33",9,"0,051","1,157","0,855",35721
